id,chain_order,margin_m,names,changes,run_lengths_m,min_run_m,start_m,end_m,length_m,chord_m,ratio,max_offset_m
541,120,25,WHEATON ROAD > DORCHESTER AVENUE,1,25.000 > 25.000,25.0,532.6505558048275,582.6505558048275,50.00000000027925,45.03757445527861,1.1101841208151257,9.926947128883025
542,120,50,WHEATON ROAD > DORCHESTER AVENUE,1,50.000 > 50.000,50.0,507.6505558048275,607.6505558048275,100.00000000011259,89.19452998480071,1.1211449852042856,21.321573420529678
543,121,25,HOUSTON AVENUE > HARVARD PLACE,1,25.000 > 25.000,25.0,536.8732249352133,586.8732249352133,50.00000000030752,49.83887886399829,1.0032328403042312,1.7143674489997567
544,121,50,HOUSTON AVENUE > HARVARD PLACE,1,50.000 > 50.000,50.0,511.87322493521333,611.8732249352133,100.00000000006453,98.11264870022755,1.0192365747417906,8.156127736754376
545,122,25,WEST CORNING AVENUE > EAST CORNING AVENUE,1,25.000 > 25.000,25.0,508.24703516684735,558.2470351668474,49.99999999995521,49.89758836783781,1.0020524365098056,1.2319460434486647
546,122,50,WEST CORNING AVENUE > EAST CORNING AVENUE,1,50.000 > 50.000,50.0,483.24703516684735,583.2470351668474,99.99999999997902,99.87517399846041,1.001249820115663,1.3913332375222929
547,123,25,WESTWOOD ROAD > JUNEWAY ROAD,1,25.000 > 25.000,25.0,334.67334685716,384.67334685716,49.99999999998063,42.869674989525464,1.166325613903006,11.275052118166482
548,123,50,WESTWOOD ROAD > JUNEWAY ROAD,1,50.000 > 50.000,50.0,309.67334685716,409.67334685716,99.99999999965065,78.14452186794163,1.2796802336143682,29.252881784006583
549,123,100,WESTWOOD ROAD > JUNEWAY ROAD,1,100.000 > 100.000,100.0,259.67334685716,459.67334685716,199.9999999998368,150.60772086350332,1.3279531676938263,63.895706098492255
550,124,25,SMITH LANE > MOORE AVENUE,1,25.000 > 25.000,25.0,126.33531965816678,176.33531965816678,50.000000000524764,45.96280609262514,1.0878361059976147,8.480816729886271
551,124,50,SMITH LANE > MOORE AVENUE,1,50.000 > 50.000,50.0,101.33531965816678,201.33531965816678,100.00000000008805,84.81386381385474,1.1790525216439036,24.04209100065183
552,124,100,SMITH LANE > MOORE AVENUE,1,100.000 > 100.000,100.0,51.33531965816678,251.33531965816678,199.99999999949446,175.60309659802522,1.1389320796393267,40.592451078772555
553,125,25,NORTH LORRAINE AVENUE > LORRAINE AVENUE,1,25.000 > 25.000,25.0,134.98261892824985,184.98261892824985,50.000000000029274,49.999678187471034,1.0000064362925905,0.08969552979633845
554,125,50,NORTH LORRAINE AVENUE > LORRAINE AVENUE,1,50.000 > 50.000,50.0,109.98261892824985,209.98261892824985,100.00000000038789,99.99285274111607,1.0000714777014146,0.3613318781912337
555,125,100,NORTH LORRAINE AVENUE > LORRAINE AVENUE,1,100.000 > 100.000,100.0,59.98261892824985,259.98261892824985,200.00000000012218,199.97432864039453,1.000128373276221,0.9835065752554117
