name,length_ft,endpoint_a,endpoint_b,intersection_to_intersection,wholly_inside,source_segments,source_ids,lon,lat
HANCOCK DRIVE,41.63946809362499,ARGONNE DRIVE,DEAD END / SAME-NAME BRANCH,False,True,1,477441950,-76.17973513598507,43.02689063450554
BURNET AVENUE,41.72501061629498,THOMPSON ROAD,THOMPSON ROAD,True,False,2,477431366;477431371,-76.08609050185973,43.06195845308138
CARLTON DRIVE,41.90662232632321,DOLL PARKWAY,DOLL PARKWAY,True,True,1,504325285,-76.08903902472021,43.04653126946835
COLERIDGE AVENUE,41.909208802566695,SOUTH LOWELL AVENUE,SOUTH LOWELL AVENUE,True,True,1,800051055,-76.17989319979075,43.04554576862587
FAYETTE BOULEVARD,41.926486637384976,AUDUBON PARKWAY,AUDUBON PARKWAY,True,True,1,477435450,-76.09505025480605,43.04939689032693
WEST COLVIN STREET,42.030620151375004,HOPE AVENUE,KIRKWOOD PLACE,True,True,1,477442549,-76.15253979597706,43.02378809261704
EUCLID AVENUE,42.09208142004231,ROOSEVELT AVENUE,EUCLID TERRACE,True,True,1,477439302,-76.11778578323097,43.036869624652006
MELROSE AVENUE,42.68451074943536,SHOTWELL PARK,DEAD END / SAME-NAME BRANCH,False,True,1,504325545,-76.11542136256621,43.06463545187691
JAMESVILLE AVENUE,42.774634521306325,VINCENT STREET,VINCENT STREET,True,True,1,477443002,-76.13281930057393,43.02123363943748
SOUTH SALINA STREET,42.78659466511493,WEST BORDEN AVENUE,EAST BORDEN AVENUE,True,True,1,477441709,-76.14642225761648,43.02794610622659
SOUTH WILBUR AVENUE,42.7962017105632,NORTH WILBUR AVENUE;TOMPKINS STREET,WEST FAYETTE STREET,True,True,1,477435685,-76.18010207136722,43.048555650615654
SEDGWICK ROAD,42.829727771243135,SEDGWICK DRIVE,SEDGWICK DRIVE,True,True,1,477429842,-76.13301422295221,43.068653811682424
JAMES STREET,42.929486757607016,SEDGWICK DRIVE,SEDGWICK DRIVE,True,True,1,477431332,-76.12859917149714,43.06211990950836
MELROSE AVENUE,42.98713711979937,SHOTWELL PARK,DEAD END / SAME-NAME BRANCH,False,True,1,504325546,-76.1154181574486,43.06456877492354
SCOTTHOLM BOULEVARD,43.444171460252605,SCOTTHOLM TERRACE,DEAD END / SAME-NAME BRANCH,False,True,1,477437239,-76.11180891041458,43.04338966069516
