name,component,length_ft,full_component_ft,outside_city_ft,wholly_inside,source_segments,source_ids,lon,lat,components_in_city
GROVE STREET,1,388.9490880244168,388.9490880244168,0.0,True,1,477444601,-76.15615280140528,43.01028908897017,1
INVERNESS PLACE,1,389.6969449123771,389.6969449123771,0.0,True,1,477441040,-76.19495615208346,43.03091811668614,1
UNION PLACE,1,390.511305557964,390.511305557964,0.0,True,2,477430887;477430963,-76.15668626676323,43.063902009498115,2
SHERIDAN PLACE,1,391.01124773238104,391.01124773238104,0.0,True,1,477432067,-76.10256983346434,43.05939819438852,1
GARFIELD AVENUE,2,392.9018392290733,392.9018392290733,0.0,True,1,477442305,-76.14124526430602,43.02565232916203,2
BELLSHIRE LANE,1,394.79699897275293,394.79699897275293,0.0,True,1,477427845,-76.15347762614095,43.079202822101195,1
KANDACE STREET,1,395.62545350436807,395.62545350436807,0.0,True,1,477440544,-76.18253878920927,43.033128629776385,1
IVES AVENUE,1,395.65877328650816,395.65877328650816,0.0,True,3,477434997;477435267;800066497,-76.11606317358034,43.05051144496028,1
MACDOUGALL PLACE,1,397.1656653713213,397.1656653713213,0.0,True,1,477446010,-76.15172743332661,43.00038395569499,1
TYLER COURT,1,397.8791104291415,397.8791104291415,0.0,True,1,477437790,-76.14311478472035,43.04218461979294,1
MILTON AVENUE,2,398.0031926817348,398.0031926817348,0.0,True,1,477434940,-76.18932064867697,43.05130975918562,2
STEVENS PLACE,1,399.7666383693891,399.7666383693891,0.0,True,1,477443468,-76.13610583419968,43.018539939029594,1
LOEHR AVENUE,1,401.0951799931017,401.0951799931017,0.0,True,1,477439954,-76.1803128235576,43.034672134078114,1
ARDMORE PLACE,1,404.65232754645143,404.65232754645143,0.0,True,2,477427396;477427482,-76.14324905222718,43.08122818673266,1
WEST JEFFERSON STREET,2,404.9185842284201,404.9185842284201,0.0,True,3,477436175;800036944;800037217,-76.15806838786476,43.04711703452164,2
WEISER COURT,1,405.18554402610255,405.18554402610255,0.0,True,1,477437788,-76.14486598664234,43.04220164925953,1
EAST OSTRANDER AVENUE,1,410.34549398998644,410.34549398998644,0.0,True,1,477443996,-76.14065431695464,43.01424228120539,1
ELOISE TERRACE,1,411.73038508254626,411.73038508254626,0.0,True,1,477442144,-76.1626893908283,43.0259886893083,1
HILLTOP ROAD,1,412.58459041091595,412.58459041091595,0.0,True,1,477441975,-76.19449998207993,43.02728679912356,1
HENDERSON STREET,1,412.60677649571227,412.60677649571227,0.0,True,1,477433304,-76.13403362712411,43.05505240476702,1
ROCK CUT ROUNDABAOUT,1,412.76072647712164,412.76072647712164,0.0,True,4,477445217;800100346;800100347;800100348,-76.13120839391519,43.006180131590725,1
MERZ AVENUE,1,416.42898480904256,416.42898480904256,0.0,True,1,477431097,-76.13853909808846,43.06369873386075,1
DABLON COURT,1,416.6819688659563,416.6819688659563,0.0,True,1,513530324,-76.14485720899928,43.04088906788924,1
BLOSSOM ROAD,1,418.67112158107574,418.67112158107574,0.0,True,1,477437207,-76.10515523102458,43.04398617179914,1
EAST GENESEE PARKWAY,1,421.6233267476275,421.6233267476275,0.0,True,1,477437553,-76.09237219837463,43.04249478659241,2
PERSHING AVENUE,1,425.5794289393774,425.5794289393774,0.0,True,2,477428817;477428821,-76.13996531470698,43.0741474188088,1
BALLARD AVENUE,1,426.5531183640122,426.5531183640122,0.0,True,1,477441204,-76.15615116216898,43.03056145132607,1
WAITE AVENUE,1,427.1798599899848,427.1798599899848,0.0,True,1,477433763,-76.18016821942456,43.05376975247593,1
OTTO STREET,1,427.489091239252,427.489091239252,0.0,True,1,477445479,-76.14031946624075,43.004930771640154,1
CREHANGE STREET,1,427.93748958549315,427.93748958549315,0.0,True,1,477442853,-76.15419469280694,43.022315042391405,1
CHINOOK DRIVE SOUTH,1,429.61407819809966,429.61407819809966,0.0,True,1,477443671,-76.12012610984183,43.01718902259807,1
MATTY AVENUE,1,430.58192879037193,430.58192879037193,0.0,True,2,477434407;477434896,-76.1643095885023,43.051466128558175,1
BEACON ROAD,1,434.27455582173326,434.27455582173326,0.0,True,2,477428868;477428872,-76.11398142991172,43.07379443390998,2
PINE GROVE STREET,1,437.94174332114454,437.94174332114454,0.0,True,1,477443946,-76.1261725827112,43.014628979154764,1
NORTH CHELTENHAM ROAD,1,440.6139077418888,440.6139077418888,0.0,True,1,477446390,-76.138332620837,42.99583440988742,1
GUILFORD ROAD,1,443.85882763524637,443.85882763524637,0.0,True,1,477439863,-76.09419205762758,43.03544528127484,2
BERNIE BLAKE DRIVE,1,447.2458405744724,447.2458405744724,0.0,True,1,477445188,-76.151391283451,43.00667345050203,1
DEWEY AVENUE,1,448.3883743802185,448.3883743802185,0.0,True,1,477434040,-76.17916787028643,43.05335122322764,1
FISH AVENUE,1,449.2574308701994,449.2574308701994,0.0,True,1,477445122,-76.15425552148793,43.00685395587631,1
HIGH STREET,1,449.97391703602165,449.97391703602165,0.0,True,1,477429544,-76.14710579021862,43.07052062786917,1
BECKER STREET,1,450.1841429045053,450.1841429045053,0.0,True,1,477429348,-76.14637776933628,43.071494099609765,1
CLAYTON AVENUE,1,451.54070186582356,451.54070186582356,0.0,True,1,477443952,-76.16901269484205,43.01516749958408,1
WARNER AVENUE,1,455.0513853199228,455.0513853199228,0.0,True,1,477442928,-76.15082427351042,43.021783871375625,2
SHERIDAN DRIVE,1,458.2913573091054,458.2913573091054,0.0,True,1,477439236,-76.1628381548579,43.03749854543147,1
MORGAN AVENUE,1,459.57979872355315,459.57979872355315,0.0,True,1,477432734,-76.1989748093965,43.05704260238322,1
EMERSON AVENUE,3,459.64132651106354,459.64132651106354,0.0,True,1,477434125,-76.1877726590279,43.05307878580305,5
RAYMOND AVENUE,1,461.45747264936387,461.45747264936387,0.0,True,1,477443663,-76.15455077005261,43.017379487314415,1
MARQUETTE STREET,1,465.46578534891773,465.46578534891773,0.0,True,1,477432926,-76.16845094928766,43.05619058217452,2
WEST MARCELLUS STREET,1,465.79743691466814,465.79743691466814,0.0,True,1,477436922,-76.1719117911095,43.0443411469529,2
CRADDOCK STREET,1,466.18999635077347,466.18999635077347,0.0,True,2,477443343;477443431,-76.16271136405098,43.01895796093367,2
COWIE AVENUE,1,470.020376738508,470.020376738508,0.0,True,2,477429036;477429039,-76.11385470716355,43.0729445834943,1
OBERST STREET,1,470.35977134293734,470.35977134293734,0.0,True,1,477431070,-76.14445481494315,43.063759623148876,1
JUDSON STREET,1,470.8028899030311,470.8028899030311,0.0,True,1,477438058,-76.12128730772595,43.04095912204371,1
HUNTER AVENUE,1,471.3027742857498,471.3027742857498,0.0,True,2,477432642;477432850,-76.16920379615891,43.056990058935874,1
FORDLAND AVENUE,1,471.4708026921061,471.4708026921061,0.0,True,2,477428273;477428291,-76.15081747354512,43.077200724474,1
FLETCHER AVENUE,1,472.58731194842585,472.58731194842585,0.0,True,1,477443935,-76.16662124991403,43.01532314053299,2
DELL STREET,1,473.03849612366963,473.03849612366963,0.0,True,2,477437703;477437728,-76.12026703560272,43.041901343551835,1
MALCOLM STREET,1,473.30110574093726,473.30110574093726,0.0,True,1,477440388,-76.1664848292396,43.03403778194087,1
RUSSELL PLACE,1,474.5984275568088,474.5984275568088,0.0,True,1,477443941,-76.16781232698152,43.015261599838986,1
CUMMINGS AVENUE,1,476.96840719994543,476.96840719994543,0.0,True,1,477430255,-76.16063079495954,43.06726261697261,1
EAST RAYNOR AVENUE,2,477.26667621528435,477.26667621528435,0.0,True,1,477439697,-76.14450380711155,43.0356110497708,3
KILLIAN DRIVE,1,477.4813348718051,477.4813348718051,0.0,True,2,477439234;477439266,-76.09422547284268,43.03715824349467,1
PENNSYLVANIA AVENUE,1,478.72840341944624,478.72840341944624,0.0,True,1,477428238,-76.15873323526067,43.07721525407877,1
PASTIME DRIVE,1,479.2079329552376,479.2079329552376,0.0,True,1,477429999,-76.15937031811359,43.06822459725866,1
CARLISLE STREET,1,480.1860673143895,480.1860673143895,0.0,True,1,477429991,-76.15265418303763,43.06855060905127,1
EXCHANGE STREET,1,483.2715180380251,483.2715180380251,0.0,True,1,477429527,-76.16594775668528,43.070897462561376,1
POND LANE,1,483.7551352784734,483.7551352784734,0.0,True,1,477430077,-76.15108973339282,43.067855750347945,1
MOUNTAINVIEW AVENUE,2,484.1638465637174,484.1638465637174,0.0,True,1,477435170,-76.1047234664832,43.05027848305057,2
MCCARTHY AVENUE,1,485.2476212692371,485.2476212692371,0.0,True,2,509997654;800032457,-76.14657555119685,43.04751994272535,1
GILBERT STREET,1,487.46917129035955,487.46917129035955,0.0,True,1,477427555,-76.15376666113856,43.08082364756926,1
MANILLA STREET,1,487.9930218779964,487.9930218779964,0.0,True,1,477433923,-76.13219021985087,43.0531871334658,1
ROSE AVENUE,1,488.531870901006,488.531870901006,0.0,True,1,506986284,-76.1445682977467,43.0366631419058,1
MCCORMICK AVENUE,1,489.3036696438901,489.3036696438901,0.0,True,3,477437045;477437058;800040236,-76.15706867902897,43.04397723605955,1
MARLBOROUGH ROAD,1,489.8124649517938,489.8124649517938,0.0,True,1,477429863,-76.11207577026201,43.06925411889035,2
HILLCREST ROAD,2,490.0176564616979,490.0176564616979,0.0,True,1,477440380,-76.10835585517742,43.03346546663905,1
GRANGER STREET,2,490.837569711974,490.837569711974,0.0,True,2,477437183;477437455,-76.15610124615681,43.04332353608518,2
AVOCA STREET,1,496.9440647547479,496.9440647547479,0.0,True,1,477436794,-76.19097582043472,43.04528161891255,1
SALT STREET,1,497.9681653679006,497.9681653679006,0.0,True,1,477454133,-76.15263461419545,43.05661551005038,1
COURT TERRACE,1,498.4305222108383,498.4305222108383,0.0,True,1,477428926,-76.15310370226013,43.07384532429418,1
AMES AVENUE,1,498.45604213561325,498.45604213561325,0.0,True,2,477445576;477445666,-76.15770480750236,43.003614988437235,1
OLD LIVERPOOL ROAD,2,499.7710194850659,499.7710194850659,0.0,True,2,477428295;477428313,-76.17576219135117,43.076712594927464,2
CODY AVENUE,1,500.2697878919132,500.2697878919132,0.0,True,1,477436623,-76.18898729081631,43.04603160359978,1
BOISE DRIVE,1,500.9769123584866,500.9769123584866,0.0,True,2,477442492;477442493,-76.13129414087396,43.02416419004155,1
CORDOVA STREET,1,503.4863732707815,503.4863732707815,0.0,True,1,477445173,-76.13969907860788,43.006351876267644,1
HERZ STREET,1,503.61686373441324,503.61686373441324,0.0,True,1,477428446,-76.13793784595633,43.07644911467232,1
TEMPLE PLACE,1,503.8364042400791,503.8364042400791,0.0,True,1,477442525,-76.1603704202044,43.02416369476023,1
SAINT ANNE DRIVE,1,503.8715108753972,503.8715108753972,0.0,True,2,477431825;800034448,-76.11863470465326,43.06026585499321,1
CLIFFSIDE DRIVE,1,503.98613179145065,503.98613179145065,0.0,True,3,477442801;477442920;800032728,-76.13743738256704,43.02194602262804,1
GANNETT AVENUE,1,505.048472176947,505.048472176947,0.0,True,1,477427807,-76.15679126744519,43.07957708858195,1
OXFORD STREET,1,506.2730513897632,506.2730513897632,0.0,True,1,477440149,-76.15290076674033,43.03398768970846,2
SHELDON AVENUE,1,506.35339379099537,506.35339379099537,0.0,True,1,477444703,-76.14510397374282,43.00988045322466,1
PHILLIPS ROAD,1,507.73695516436266,507.73695516436266,0.0,True,1,477436294,-76.09263328704071,43.046842129248745,1
LEA LANE,1,508.1867959755015,508.1867959755015,0.0,True,1,477429212,-76.11874179116978,43.0724157521505,1
ARSENAL DRIVE,1,510.99944718952906,510.99944718952906,0.0,True,1,477446022,-76.1377483826033,42.99978950279093,1
